['1By1AaGzTMrWRLoNZYFilk', 'https://p.scdn.co/mp3-preview/92e2a1ffdc9aaadc11bb8cbd600c3ab78281627d?cid=802d45d459874f0386ed3e9c79d0c6df', 'Cry Our Little Eyes Out', 'Cut Yourself a Switch', 'Catherine Irwin', 0]
['0mv6zdCyaqyiI1RZ1PISbD', 'https://p.scdn.co/mp3-preview/09aa2ce2eacc1a9cc225b5665b2322412b042e2e?cid=802d45d459874f0386ed3e9c79d0c6df', 'Something Else Or...', 'The Strength / The Sound / The Songs', 'Volbeat', 34]
['00P84oga5jJbFLK7dAs7yW', 'https://p.scdn.co/mp3-preview/335ae84f9d6c76204e106fed324038d2698b6013?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rebel Monster', 'The Strength / The Sound / The Songs', 'Volbeat', 34]
['5zmgnuLfXzlKWIlUCO6bGe', 'https://p.scdn.co/mp3-preview/e3f9acfce9e371217de0bb4c7a0924d2fffc2911?cid=802d45d459874f0386ed3e9c79d0c6df', 'Pool Of Booze, Booze, Booza', 'The Strength / The Sound / The Songs', 'Volbeat', 39]
['3ZLrbqoNAoxHfSVH8xN1Gk', 'https://p.scdn.co/mp3-preview/a55fd23c381fda5c20c2398a27298819e88d928b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Always. Wu', 'The Strength / The Sound / The Songs', 'Volbeat', 35]
['25EHSLZ6u3Cbety7H6jxeN', 'https://p.scdn.co/mp3-preview/58dda6957d68f8ff0ebe6d00ec42d9e4b6fb22e1?cid=802d45d459874f0386ed3e9c79d0c6df', 'Say Your Number', 'The Strength / The Sound / The Songs', 'Volbeat', 34]
['4dbNziPa1JyBoaF30dXjgp', 'https://p.scdn.co/mp3-preview/4aee9d3a0d8d00ce4c318f53e6245da69e4a5c97?cid=802d45d459874f0386ed3e9c79d0c6df', 'Fire Song', 'The Strength / The Sound / The Songs', 'Volbeat', 33]
['3P1f3fzP79FTCCB67cb8fz', 'https://p.scdn.co/mp3-preview/4174fd78d00eded4d751deb2d0c94ed9098ed79c?cid=802d45d459874f0386ed3e9c79d0c6df', 'Danny & Lucy (11PM)', 'The Strength / The Sound / The Songs', 'Volbeat', 34]
['7vAV4Iyf1eERCICR6lTOvZ', 'https://p.scdn.co/mp3-preview/8359066037d403dbf0f07cebda5103d9e910a109?cid=802d45d459874f0386ed3e9c79d0c6df', 'Caroline #1', 'The Strength / The Sound / The Songs', 'Volbeat', 31]
['6gurRPoJjDxBMRkS2Dd4w8', 'https://p.scdn.co/mp3-preview/fe72f735ef3641d4cee546c7e80a10d2842b538a?cid=802d45d459874f0386ed3e9c79d0c6df', 'Alienized', 'The Strength / The Sound / The Songs', 'Volbeat', 32]
['2MAJJJu89ogKPctelr3F7f', 'https://p.scdn.co/mp3-preview/602d540ccfcb4f8f013662c75948459e1d2ea8aa?cid=802d45d459874f0386ed3e9c79d0c6df', 'I Only Wanna Be With You', 'The Strength / The Sound / The Songs', 'Volbeat', 59]
['0oTjHRreNu3grTTLfd5fTX', 'https://p.scdn.co/mp3-preview/777c3dbe697a6719eb4aecc86d1a374f93e11d41?cid=802d45d459874f0386ed3e9c79d0c6df', "Everything's Still Fine", 'The Strength / The Sound / The Songs', 'Volbeat', 32]
['2CYQOjCq565BrSMpDkW4uq', 'https://p.scdn.co/mp3-preview/c718af48ec6e85452fe0be5837f6db45c6960030?cid=802d45d459874f0386ed3e9c79d0c6df', 'Healing Subconsciously', 'The Strength / The Sound / The Songs', 'Volbeat', 34]
['01xSUsY68E0hSIZeo1P2LF', 'https://p.scdn.co/mp3-preview/3006c9ef4ab850acd5e3e1f0d6c9d2cc46b44dc6?cid=802d45d459874f0386ed3e9c79d0c6df', "The Devil's Bleeding Crown", "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 40]
['5JgcHk5S6Z08WUQhfKqdZY', 'https://p.scdn.co/mp3-preview/6d19d67091c6232d3b5394b7aa7b5f39819d7f26?cid=802d45d459874f0386ed3e9c79d0c6df', 'Marie Laveau', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 34]
['2cTCnf9AjwWx61f5O9illN', 'https://p.scdn.co/mp3-preview/d5cffef72e0a279279a65f09e39c05d55f3d6f90?cid=802d45d459874f0386ed3e9c79d0c6df', 'The Gates Of Babylon', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 35]
['6Wf1pFVNJ9ATGUXWcuprDH', 'https://p.scdn.co/mp3-preview/03b4a7726ee9de93ea6a1eb6d907363eccf9689b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Let It Burn', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 35]
['6SLmlZz1qZfw9xN145lm2K', 'https://p.scdn.co/mp3-preview/caf276f3e47e3b77b6280a64190c3fa54555287e?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rebound', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 31]
['2dISvWrycbCyNpRoT6Y1Od', 'https://p.scdn.co/mp3-preview/313a4c2b3dde78968412e40940aefe63bffe8afa?cid=802d45d459874f0386ed3e9c79d0c6df', 'Mary Jane Kelly', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 34]
['3BinO0iLP0eT1vKD6SxlSk', 'https://p.scdn.co/mp3-preview/03a178a907707f49b96b8c0a14639e11b144422a?cid=802d45d459874f0386ed3e9c79d0c6df', 'Goodbye Forever', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 35]
['1ibOpk2G4mtHfWE87k5Pou', 'https://p.scdn.co/mp3-preview/405f025b9965e5a990d7f8fc05dc1a33de28d387?cid=802d45d459874f0386ed3e9c79d0c6df', 'Seal The Deal', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 39]
['74cZUuXyGkV2w6yaTFf835', 'https://p.scdn.co/mp3-preview/c42e5b42d29d4b850eca2e9d8b7505b094204686?cid=802d45d459874f0386ed3e9c79d0c6df', 'Battleship Chains', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 36]
['05ljDPnFKrE0vmFynfGg43', 'https://p.scdn.co/mp3-preview/e6bd619ce98d2abd66256b6d86ce8a3075ff3522?cid=802d45d459874f0386ed3e9c79d0c6df', 'You Will Know', "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 30]
['7KEdgW57wQlz0wAB4wRDWB', 'https://p.scdn.co/mp3-preview/973d7f07e21b433759c0f5c8c2ce6ad36312e200?cid=802d45d459874f0386ed3e9c79d0c6df', "The Loa's Crossroad", "Seal The Deal & Let's Boogie (Deluxe)", 'Volbeat', 29]
['69RB2UCsfPOWuiwpON7UFt', 'https://p.scdn.co/mp3-preview/af9179bd24803e0a012abb3869803cfb2641e742?cid=802d45d459874f0386ed3e9c79d0c6df', 'Ich mag', 'Herz & Schnauze - Seine Größten Erfolge', 'Volker Lechtenbrink', 1]
['0iYFDt7vrpGRvjQAQ4ashc', 'https://p.scdn.co/mp3-preview/9ad4cd890b90c6ad43fde746c9c3471b282c900e?cid=802d45d459874f0386ed3e9c79d0c6df', 'Irgendwann', 'Ich Mag - Seine Grossen Erfolge', 'Volker Lechtenbrink', 27]
['0vJoJX89Md9W2wfNrkh8Zl', 'https://p.scdn.co/mp3-preview/f1adc8b1c8b30a496e4c852576e73fda22e93787?cid=802d45d459874f0386ed3e9c79d0c6df', 'Het Liedje over mij (Das Lied über mich) - Holländische Version', 'Minidisco International', 'Volker Rosin', 1]
['5NBCRuSpMGY5ckTP6TfWDQ', 'https://p.scdn.co/mp3-preview/bce5270298adecf323b44786470e80b55b123048?cid=802d45d459874f0386ed3e9c79d0c6df', 'Meine Kneipe', 'Grande', 'Von Wegen Lisbeth', 57]
['13FlxJxlFrtgphJb94sFAM', 'https://p.scdn.co/mp3-preview/ed8af2159faa590d080b46e9c239036b05efd2cb?cid=802d45d459874f0386ed3e9c79d0c6df', 'Chérie', 'Grande', 'Von Wegen Lisbeth', 49]
['5zu9rnfThQpAMNRpOlA5R4', 'https://p.scdn.co/mp3-preview/94b83884796229e94b6b2f6e15a5974193749a39?cid=802d45d459874f0386ed3e9c79d0c6df', 'Komm mal rüber bitte', 'Grande', 'Von Wegen Lisbeth', 39]
['4jCMZnEih7avF93RufztfJ', 'https://p.scdn.co/mp3-preview/149efe3a7193ee0ece68cb010b86bf27c0a49ee3?cid=802d45d459874f0386ed3e9c79d0c6df', 'Drüben bei Penny', 'Grande', 'Von Wegen Lisbeth', 37]
['0EOCkfEn4axSeo5N2GhMas', 'https://p.scdn.co/mp3-preview/e3a73bcc02946371365a8f49bf463496346b254d?cid=802d45d459874f0386ed3e9c79d0c6df', 'Bitch', 'Grande', 'Von Wegen Lisbeth', 56]
['0G7vexduCvboPyIGjJXQIC', 'https://p.scdn.co/mp3-preview/54ba132b9bff5377ac2b786930f1addfc2ca31a3?cid=802d45d459874f0386ed3e9c79d0c6df', 'Wenn du tanzt', 'Grande', 'Von Wegen Lisbeth', 59]
['6Yg5Tb3q7U7Y8nOpPmsI2O', 'https://p.scdn.co/mp3-preview/6a6d22b02514223fce1f47787664c2abac99c1ec?cid=802d45d459874f0386ed3e9c79d0c6df', 'Der Untergang des Abendlandes', 'Grande', 'Von Wegen Lisbeth', 36]
['2XsbdCHvpifPWQ5LPTnFBU', 'https://p.scdn.co/mp3-preview/3ede898c0d4d6ed0cf193b4f020e4ee68ad40096?cid=802d45d459874f0386ed3e9c79d0c6df', 'Lisa', 'Grande', 'Von Wegen Lisbeth', 46]
['7mnl4Lj12hllf83OAtyJpv', 'https://p.scdn.co/mp3-preview/32f2d49989e4eee50f668d24f9fbef5350cda539?cid=802d45d459874f0386ed3e9c79d0c6df', 'Sushi', 'Grande', 'Von Wegen Lisbeth', 49]
['1p7RBGtYyGHKT4PHvHMO58', 'https://p.scdn.co/mp3-preview/1388c2c714f5c7ad7453b31593efb43c0c5be590?cid=802d45d459874f0386ed3e9c79d0c6df', 'Bärwaldpark', 'Grande', 'Von Wegen Lisbeth', 35]
['08GIdQOOcBgheFbz0866nE', 'https://p.scdn.co/mp3-preview/b45f5cf6b5f0dfe0e79f09e9930f1ff0ddf917a7?cid=802d45d459874f0386ed3e9c79d0c6df', 'Milchschaum', 'Grande', 'Von Wegen Lisbeth', 34]
['5o1J7MQq3CZxPFxh5EWTJi', 'https://p.scdn.co/mp3-preview/6fbbf69c859bb3c54728105bf0986927f4301aa9?cid=802d45d459874f0386ed3e9c79d0c6df', 'Becks Ice', 'Grande', 'Von Wegen Lisbeth', 38]
['3EDunst1YzE2Pm2CrnC41S', 'https://p.scdn.co/mp3-preview/d41a4060c67f9b64177164320abca3d489ee9a91?cid=802d45d459874f0386ed3e9c79d0c6df', 'Unterm Schrank', 'Grande', 'Von Wegen Lisbeth', 33]
['0AK4krCCbWJbmGFF7zTosg', 'https://p.scdn.co/mp3-preview/95d88b06576b7cdff5c64c21d01336f421aae0d8?cid=802d45d459874f0386ed3e9c79d0c6df', 'Hipbone', 'NYC Stuff and NYC Bags - EP', 'Vondelpark', 28]
['2cGlXalkjDkmHj1UsqfP4c', 'https://p.scdn.co/mp3-preview/42c5ad9d1920a694fab6471a6ee483acebacbbd5?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rock mi', 'Alpin', 'voXXclub', 26]
['7cuRgdYlesmnGmVaZwhkda', 'https://p.scdn.co/mp3-preview/20427195d1dbe339adb5832ac94aa67d5789d315?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rave After Rave', 'Rave After Rave', 'W&W', 52]
['6892jaGWq4JjbHvJFzEcYU', 'https://p.scdn.co/mp3-preview/58f5311646ec7b19f19cfe03fcb92223f264fa5f?cid=802d45d459874f0386ed3e9c79d0c6df', 'Hallowed Ground', 'Dying for the World', 'W.A.S.P.', 37]
['2vtIydWBcUBvlJfRZ4kRrq', 'https://p.scdn.co/mp3-preview/63509c91e2d952d68408a57390f65b027acae9b2?cid=802d45d459874f0386ed3e9c79d0c6df', 'Miss You', 'Golgotha', 'W.A.S.P.', 51]
['2vtIydWBcUBvlJfRZ4kRrq', 'https://p.scdn.co/mp3-preview/63509c91e2d952d68408a57390f65b027acae9b2?cid=802d45d459874f0386ed3e9c79d0c6df', 'Miss You', 'Golgotha', 'W.A.S.P.', 51]
['4fBsY6VFPeCW9x6o79eZME', 'https://p.scdn.co/mp3-preview/7d0fca0dd29dcfe6754ecc71522fe389c9dd9eda?cid=802d45d459874f0386ed3e9c79d0c6df', 'Detonate', 'The Scotch Tape', 'Timeflies', 22]
['47QJQFnG3lTcrWlYYU3XQV', 'https://p.scdn.co/mp3-preview/dc2549afbfa858dbc5819da6c80f2c2bb99bc17c?cid=802d45d459874f0386ed3e9c79d0c6df', 'Turn It Up', 'The Scotch Tape', 'Timeflies', 30]
['7eES9EHo6h20R2ZgUPrx8n', 'https://p.scdn.co/mp3-preview/9915ed8aea3086ffe53de2de3de3712c6ace6e28?cid=802d45d459874f0386ed3e9c79d0c6df', 'Stunner', 'The Scotch Tape', 'Timeflies', 17]
['0Uf2BnvU6DbS6cS8B7dGME', 'https://p.scdn.co/mp3-preview/2132074dc17b6c3c8adb26812517ec0c49b9773c?cid=802d45d459874f0386ed3e9c79d0c6df', 'Everything I Do', 'The Scotch Tape', 'Timeflies', 18]
['0FKQ1F4rLZPr3rRI7eiHDN', 'https://p.scdn.co/mp3-preview/ed8984f94f2644ebb8e4fb3083162f1948618eca?cid=802d45d459874f0386ed3e9c79d0c6df', 'Interlude', 'The Scotch Tape', 'Timeflies', 8]
['5PSXmJVvwYXfekSLbCKPev', 'https://p.scdn.co/mp3-preview/d4aaf47b909180952ea764a9aae942e697875c88?cid=802d45d459874f0386ed3e9c79d0c6df', 'Fade', 'The Scotch Tape', 'Timeflies', 17]
['05cuqqHBcoP8L5tsRED2tR', 'https://p.scdn.co/mp3-preview/dd13aee319ff7b0e418fb892b9ace7f182a8474e?cid=802d45d459874f0386ed3e9c79d0c6df', 'Shades of Grey', 'The Scotch Tape', 'Timeflies', 17]
['5ZDkwmEL0vJUnhH1vE5F6w', 'https://p.scdn.co/mp3-preview/4ac62f99856bd9e6a5f5b54f2e4c216d25d16adc?cid=802d45d459874f0386ed3e9c79d0c6df', 'Switchblade', 'The Scotch Tape', 'Timeflies', 19]
['4aFLceY2SiW4mclfXXyurP', 'https://p.scdn.co/mp3-preview/bd3e12eab0ec48025fb97f1db763d005dbdf5c57?cid=802d45d459874f0386ed3e9c79d0c6df', 'Ex Games', 'The Scotch Tape', 'Timeflies', 19]
['7152P5rQMwjwoyepSuHx1B', 'https://p.scdn.co/mp3-preview/bd7dc31e3b770982af4068de32428fb5f7276e8d?cid=802d45d459874f0386ed3e9c79d0c6df', 'For You', 'The Scotch Tape', 'Timeflies', 29]
['79sLEAkkvv4Ogc67PkhBWR', 'https://p.scdn.co/mp3-preview/707d6719185811831b470a147a37d9405811a0b9?cid=802d45d459874f0386ed3e9c79d0c6df', 'Until the Sunrise', 'The Scotch Tape', 'Timeflies', 22]
['6PqX3LuRuaeTrs7X7x0Gai', 'https://p.scdn.co/mp3-preview/19eddeb57fe5524958109e1f73dc59691ab101cf?cid=802d45d459874f0386ed3e9c79d0c6df', 'Somewhere Over The Rainbow', 'The Very Best Of', 'Timi Yuro', 15]
['2drQ6wg2hdl6RDslarifh8', 'https://p.scdn.co/mp3-preview/86f605c91fe4c2b43e001a1ed81a1559115de52b?cid=802d45d459874f0386ed3e9c79d0c6df', 'One More Try', 'Time After Time', 'Timmy T', 49]
['3InJMK7ZeMJ5s9O7TNJFxK', 'https://p.scdn.co/mp3-preview/bb6a794b4a64187dba5d04988b443c896dd3ba3d?cid=802d45d459874f0386ed3e9c79d0c6df', 'Time After Time', 'Time After Time', 'Timmy T', 38]
['0twtEOouu8gohnjlPGYa9O', 'https://p.scdn.co/mp3-preview/31cc4b697da6cb54d3bee87d95d15e881866b877?cid=802d45d459874f0386ed3e9c79d0c6df', 'Out of Africa: Main Title', 'Cinema Serenade', 'John Barry', 29]
['6o5hdepiPsSowgHxdQbXsl', 'https://p.scdn.co/mp3-preview/48116522527ccfd6c9952125b573bfc3f379ea24?cid=802d45d459874f0386ed3e9c79d0c6df', 'Ocean (Live)', 'Tin Shed Tales', 'John Butler Trio', 39]
['7kxKx02fKLa17kkNh2kA36', 'https://p.scdn.co/mp3-preview/a0e588d446aa28d5aecb59fc55d6753c9d899eea?cid=802d45d459874f0386ed3e9c79d0c6df', "Annie's Song", "John Denver's Greatest Hits, Volume 2", 'John Denver', 20]
['3D8dwH690MXQRhtIZTSS9c', 'https://p.scdn.co/mp3-preview/cd494abdff56a9253353d18ad4abd5c8593e0bdb?cid=802d45d459874f0386ed3e9c79d0c6df', 'Leaving, On a Jet Plane - "Greatest Hits" Version', "John Denver's Greatest Hits", 'John Denver', 63]
['7LacW3OBFtfiz5t69ce9GL', 'https://p.scdn.co/mp3-preview/425713b5e0351656ef75e910330c4bc6e1366429?cid=802d45d459874f0386ed3e9c79d0c6df', 'Take Me Home, Country Roads', "John Denver's Greatest Hits", 'John Denver', 44]
['0d2Uz7f1GdM2xUnrLENawF', 'https://p.scdn.co/mp3-preview/91a267520913b9c0778607ea6cb45fbc56f756fe?cid=802d45d459874f0386ed3e9c79d0c6df', "Thank God I'm a Country Boy - Live at the Universal Amphitheatre, Los Angeles, CA - August/September 1974", "John Denver's Greatest Hits, Volume 2", 'John Denver', 17]
['7Iu75aucwQ0SLluAk0t1LY', 'https://p.scdn.co/mp3-preview/fc611422f1832487fe27f74f0c5572c10bfae21d?cid=802d45d459874f0386ed3e9c79d0c6df', 'The Eagle and the Hawk - "Greatest Hits" Version', "John Denver's Greatest Hits", 'John Denver', 45]
['041kDUBAzr9RkPsdNXcwg4', 'https://p.scdn.co/mp3-preview/33ca1131f58bbf4dbc06bb65b9844c6d69f708b1?cid=802d45d459874f0386ed3e9c79d0c6df', 'Fly Away', "John Denver's Greatest Hits, Volume 2", 'John Denver', 16]
['4nCSLm8MW2AzNyHURrih15', 'https://p.scdn.co/mp3-preview/9f101fb9dfd0dd964cf2f6c0382c757fe6167c4e?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rocky Mountain High', "John Denver's Greatest Hits", 'John Denver', 40]
['58VMwGJx8Ai1kBqhk66yqu', 'https://p.scdn.co/mp3-preview/675b393e9775d2f6dbaf831e609d0ddaca339184?cid=802d45d459874f0386ed3e9c79d0c6df', 'Back Home Again', "John Denver's Greatest Hits, Volume 2", 'John Denver', 15]
['5yqSJFZNSEye0Ij8132Xzr', 'https://p.scdn.co/mp3-preview/07c92989639c77029b47b8d0b40c029d01319f7b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Welcome to My Morning (Farewell Andromeda) - "Greatest Hits" Version', "John Denver's Greatest Hits, Volume 2", 'John Denver', 19]
['5DZtIEl3T9vLbgmOvmKdpG', 'https://p.scdn.co/mp3-preview/80cbd6e7a56b4390a1b963eb979e49efe0bf052a?cid=802d45d459874f0386ed3e9c79d0c6df', 'Calypso', "John Denver's Greatest Hits, Volume 2", 'John Denver', 16]
['0WKFjLNoK74j16YpxtWURA', 'https://p.scdn.co/mp3-preview/78cbd360487b7b12668148d9d56f0762b8de81e9?cid=802d45d459874f0386ed3e9c79d0c6df', 'This Old Guitar - "Greatest Hits" Version', "John Denver's Greatest Hits, Volume 2", 'John Denver', 15]
['7AguzFrALGqo2nqMnh2SZE', 'https://p.scdn.co/mp3-preview/c470024279dfc79040e9b614874097cfeb7f5166?cid=802d45d459874f0386ed3e9c79d0c6df', 'Goodbye Again', "John Denver's Greatest Hits", 'John Denver', 37]
['0iU6fUdMpII8VNxni2ians', 'https://p.scdn.co/mp3-preview/3c77f70e878ae7899bb03323d84e4540c0826c8e?cid=802d45d459874f0386ed3e9c79d0c6df', 'Like a Sad Song - "Greatest Hits" Version', "John Denver's Greatest Hits, Volume 2", 'John Denver', 15]
['1XeCCcv0C9vD6Z8P9E8uhG', 'https://p.scdn.co/mp3-preview/b371384a4dfea8261fe8074c6037a00804475b83?cid=802d45d459874f0386ed3e9c79d0c6df', 'Perhaps Love', "John Denver's Greatest Hits, Volume 3", 'John Denver', 52]
['3qW2zD9Xac0Pt82OBk3NzG', 'https://p.scdn.co/mp3-preview/931053f5b435dd63bdf31b3e6e2d7d8a2de75ca4?cid=802d45d459874f0386ed3e9c79d0c6df', 'Hwy 5', "Forever Hasn't Happened Yet", 'John Doe', 4]
['3aa1AacDhymLNdnL5CAC37', 'https://p.scdn.co/mp3-preview/a2d6e078e623c64b435717bc389c5c968cb02036?cid=802d45d459874f0386ed3e9c79d0c6df', 'Master of Disaster', 'Master of Disaster', 'John Hiatt', 39]
['0mD19MC6H0OzHvEUADHypU', 'https://p.scdn.co/mp3-preview/da0e556a0e4a29a4b7544e30a450e6142e2db0b1?cid=802d45d459874f0386ed3e9c79d0c6df', 'Police In Helicopter', 'Police In Helicopter', 'John Holt', 59]
['0gjWd88kx93Vai8j2SmQcc', 'https://p.scdn.co/mp3-preview/c0cf96c76d2dfa4cb3ed9270f7d8202e838c9157?cid=802d45d459874f0386ed3e9c79d0c6df', 'Heavy', 'Stones', 'Addict', 2]
['1KXDbhj8PUnHnBbPHDZdBV', 'https://p.scdn.co/mp3-preview/56e80f0bcd984c18bfb3cb63091ee70cf352983f?cid=802d45d459874f0386ed3e9c79d0c6df', 'Lieder', 'Lieder (Deluxe Version)', 'Adel Tawil', 63]
['7gnaGHAhhuVviZjJyIP3kt', 'https://p.scdn.co/mp3-preview/d9c564602d3d619253552d209833fd8dfbf64b7b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Aschenflug (feat. Sido & Prinz Pi)', 'Lieder (Deluxe Version)', 'Adel Tawil', 52]
['6PIp0U7PSRUERuRAdfkLeg', 'https://p.scdn.co/mp3-preview/fd6a553f3d10c11038c36eebcefc48a24f67dd5b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Zuhause (feat. Matisyahu)', 'Lieder (Deluxe Version)', 'Adel Tawil', 53]
['5GO0ZraYzDtjpRzqMfsfLy', 'https://p.scdn.co/mp3-preview/2697b48902a3f574d8032df7ce82c64efdd0e858?cid=802d45d459874f0386ed3e9c79d0c6df', "Tu m'appelles (feat. PEACHY)", 'Alles Lebt', 'Adel Tawil', 51]
['5FgPwJ7Nh2FVmIXviKl2VF', 'https://p.scdn.co/mp3-preview/d1cee7c98d25a9088cc677579469b6f20fc8586a?cid=802d45d459874f0386ed3e9c79d0c6df', 'Make You Feel My Love', '19', 'Adele', 75]
['62PaSfnXSMyLshYJrlTuL3', 'https://p.scdn.co/mp3-preview/ee083f6bd2835183a39a8d67b256e3d6e125a476?cid=802d45d459874f0386ed3e9c79d0c6df', 'Hello', '25', 'Adele', 74]
['1ESvthpg6hWmjlNJdpTrbH', 'https://p.scdn.co/mp3-preview/e394c1c9d8eaacdc34e80d254f2a794bf23f41c6?cid=802d45d459874f0386ed3e9c79d0c6df', 'Hometown Glory - High Contrast Remix', 'Hometown Glory', 'Adele', 51]
['1c8gk2PeTE04A1pIDH9YMk', 'https://p.scdn.co/mp3-preview/a693acd1ffb1b2dd87fcfb9b7fa4b6689a594586?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rolling in the Deep', '21', 'Adele', 81]
['1zwMYTA5nlNjZxYrvBB2pV', 'https://p.scdn.co/mp3-preview/efbea515ba096982a2e0adc8bb10c03d0a05daf4?cid=802d45d459874f0386ed3e9c79d0c6df', 'Someone Like You', '21', 'Adele', 81]
['1c8gk2PeTE04A1pIDH9YMk', 'https://p.scdn.co/mp3-preview/a693acd1ffb1b2dd87fcfb9b7fa4b6689a594586?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rolling in the Deep', '21', 'Adele', 81]
['2A73XBDBQgmdXO8VsXPWIs', 'https://p.scdn.co/mp3-preview/a151cfda8c2a432dc4d9c5afc15f79dcdc0e2c34?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rumour Has It', '21', 'Adele', 68]
['4oy98QoABnGKpvapDkI525', 'https://p.scdn.co/mp3-preview/c1282c910831c2b7c0df4d950c97d0c0df837010?cid=802d45d459874f0386ed3e9c79d0c6df', 'Turning Tables', '21', 'Adele', 67]
['73CMRj62VK8nUS4ezD2wvi', 'https://p.scdn.co/mp3-preview/42b2a3e0d9f67450d1e201c7d84435882273aa46?cid=802d45d459874f0386ed3e9c79d0c6df', 'Set Fire to the Rain', '21', 'Adele', 81]
['3uVsdnIglL7aTjm8X08J0M', 'https://p.scdn.co/mp3-preview/4fbbe7f3aff41643f76ef9cf807f85f1c394bda1?cid=802d45d459874f0386ed3e9c79d0c6df', "He Won't Go", '21', 'Adele', 58]
['08YJEcxGtYXwCGqXMZDiyQ', 'https://p.scdn.co/mp3-preview/1664a693264d4f3b66961549c56bfbaa0cc250fc?cid=802d45d459874f0386ed3e9c79d0c6df', 'Take It All', '21', 'Adele', 58]
['43dcCpx19I0R4zLr4KH1UC', 'https://p.scdn.co/mp3-preview/3c4bec36c3feeee38275fd22f5c6d9cecfd4ba81?cid=802d45d459874f0386ed3e9c79d0c6df', 'One And Only', '21', 'Adele', 69]
['7nm6DlSzzJTH1rk2e6EgJz', 'https://p.scdn.co/mp3-preview/6a451a45882aaf431c03e1c1c552063ba15efa49?cid=802d45d459874f0386ed3e9c79d0c6df', 'Lovesong', '21', 'Adele', 59]
['1zwMYTA5nlNjZxYrvBB2pV', 'https://p.scdn.co/mp3-preview/efbea515ba096982a2e0adc8bb10c03d0a05daf4?cid=802d45d459874f0386ed3e9c79d0c6df', 'Someone Like You', '21', 'Adele', 81]
['198LHWhu6rw51NBB701db3', 'https://p.scdn.co/mp3-preview/68f06c392258ba4d582161eb4a45de200de4546b?cid=802d45d459874f0386ed3e9c79d0c6df', 'Black Veins', 'Sleepless', 'Adept', 40]
['37Xi6KFbG2LFugQSq0qz1W', 'https://p.scdn.co/mp3-preview/a8151efa6fe9a5c265ef9c1ed32c369ae256aca0?cid=802d45d459874f0386ed3e9c79d0c6df', 'Wounds', 'Sleepless', 'Adept', 27]
['1hpSOknvfFs8mv8rORIBoS', 'https://p.scdn.co/mp3-preview/2f3d714d27cb9fd31664dad0354d2819c3babee4?cid=802d45d459874f0386ed3e9c79d0c6df', 'Dark Clouds', 'Sleepless', 'Adept', 30]
['0w01Mb7fgBfMK2dpXUq5r0', 'https://p.scdn.co/mp3-preview/e5abf353f20ced6fb59e940d6510dc272a8a2bd1?cid=802d45d459874f0386ed3e9c79d0c6df', 'Carry the Weight', 'Sleepless', 'Adept', 29]
['7sf6khgs8DaqAIkaErTDww', 'https://p.scdn.co/mp3-preview/9d491218e58d6c9ddf38d2dd2a70e7950f315fd8?cid=802d45d459874f0386ed3e9c79d0c6df', 'Rewind the Tape', 'Sleepless', 'Adept', 28]
['6fMZEgdCOzUeFING8B2Iaq', 'https://p.scdn.co/mp3-preview/56ef525848be170c01981129b75b564039c002ae?cid=802d45d459874f0386ed3e9c79d0c6df', 'Down and Out', 'Sleepless', 'Adept', 26]
['353IfN669vm6t7qWzCFhXI', 'https://p.scdn.co/mp3-preview/8d61f6faf09e752cf69e132ecd339f9eb4ed1e2d?cid=802d45d459874f0386ed3e9c79d0c6df', 'The Choirs of Absolution', 'Sleepless', 'Adept', 26]
['0MhMeOy3Rq1LkaB7puQRRp', 'https://p.scdn.co/mp3-preview/dfd344fe92e932504f95076a1113ebe84a349307?cid=802d45d459874f0386ed3e9c79d0c6df', 'Lights', 'Sleepless', 'Adept', 29]
['5dyFVHgal5c5aGgLYFMIf3', 'https://p.scdn.co/mp3-preview/4d0329db61a35aab38d59a8f2e71aa2b1e9c240b?cid=802d45d459874f0386ed3e9c79d0c6df', 'The Sickness', 'Sleepless', 'Adept', 27]
